Title,Color,Genre,Language,Country,Rating,Lead Actor,DirectorName,LeadActorFBLikes,CastFBLikes,DirectorFBLikes,MovieFBLikes,IMDbScore,TotalReviews,Duration,GrossRevenue,Budget,NetProfit,ReleaseYear,ReleaseMonth
Over the Hill to the Poorhouse,Black and White,Crime,English,USA,Not Rated,Stephen Carr,Harry F. Millarde,2,4,0,0,4.8,1,110,3000000,100000,2900000,1920,9
Metropolis,Black and White,Drama,German,Germany,Not Rated,Brigitte Helm,Fritz Lang,136,203,756,12000,8.3,260,145,26435,6000000,-5973565,1927,1
The Broadway Melody,Black and White,Musical,English,USA,Passed,Anita Page,Harry Beaumont,77,109,4,167,6.3,36,100,2808000,379000,2429000,1929,11
42nd Street,Black and White,Comedy,English,USA,Unrated,Ginger Rogers,Lloyd Bacon,610,995,24,439,7.7,65,89,2300000,439000,1861000,1933,8
Top Hat,Black and White,Comedy,English,USA,Approved,Ginger Rogers,Mark Sandrich,610,824,10,1000,7.8,66,81,3000000,609000,2391000,1935,4
Modern Times,Black and White,Comedy,English,USA,G,Paulette Goddard,Charles Chaplin,309,352,0,0,8.6,120,87,163245,1500000,-1336755,1936,10
Snow White and the Seven Dwarfs,Color,Animation,English,USA,Approved,Adriana Caselotti,William Cottrell,82,229,0,0,7.7,145,83,184925485,2000000,182925485,1937,2
Gone with the Wind,Color,Drama,English,USA,G,Hattie McDaniel,Victor Fleming,503,1862,149,16000,8.2,157,226,198655278,3977000,194678278,1939,11
The Wizard of Oz,Black and White,Adventure,English,USA,Passed,Margaret Hamilton,Victor Fleming,695,2509,149,14000,8.1,213,102,22202612,2800000,19402612,1939,4
Fantasia,Color,Animation,English,USA,G,Leopold Stokowski,James Algar,16,16,11,3000,7.8,99,120,76400000,2280000,74120000,1940,5
Pinocchio,Color,Animation,English,USA,Approved,Mel Blanc,Norman Ferguson,1000,1178,3,0,7.5,105,88,84300000,2600000,81700000,1940,10
Duel in the Sun,Color,Drama,English,USA,Unrated,Joseph Cotten,King Vidor,469,2037,54,403,6.9,32,144,20400000,8000000,12400000,1946,6
